,Ticker,Company,CIK,Name,Exchange,SIC,Business,Incorporated,IRS,Flag_3D,Flag_CAD,Flag_Materials,Flag_supply
266,BCRH,BLUE CAPITAL REINSURANCE,1582086,Blue Capital Reinsurance Holdings LTD,NYSE,6331.0,D0,D0,981120002.0,0,0,1,True
267,BCRX,BIOCRYST PHARMACEUTICALS,882796,Biocryst Pharmaceuticals Inc,NASDAQ,2836.0,AL,DE,621413174.0,0,15,312,True
268,BDC,BELDEN INC,913142,Belden Inc,NYSE,3357.0,MO,DE,363601505.0,0,20,430,True
269,BDE,BLACK DIAMOND INC,1022844,Brilliant Digital Entertainment Inc,NASDAQ,7372.0,CA,DE,954592204.0,0,0,0,False
270,BDE,BLACK DIAMOND INC,1304069,Bois D Arc Energy Inc,NASDAQ,1311.0,TX,NV,201268553.0,0,0,19,False
271,BDGE,BRIDGE BANCORP INC,846617,Bridge Bancorp Inc,NASDAQ,6021.0,NY,NY,112934195.0,0,5,2,True
272,BDN,BRANDYWINE REALTY TRUST,790816,Brandywine Realty Trust,NYSE,6798.0,PA,MD,232413352.0,0,604,18,True
273,BDX,BECTON DICKINSON & CO,10795,Becton Dickinson & Co,NYSE,3841.0,NJ,NJ,220760120.0,0,21,334,True
274,BEAT,BIOTELEMETRY INC,1113784,Cardionet Inc,NASDAQ,3841.0,PA,CA,330604557.0,0,17,87,True
275,BEAT,BIOTELEMETRY INC,1574774,Biotelemetry Inc,NASDAQ,3841.0,PA,DE,462568498.0,0,2,63,True
276,BECN,BEACON ROOFING SUPPLY,1124941,Beacon Roofing Supply Inc,NASDAQ,5030.0,VA,DE,,0,30,567,True
277,BELFB,BEL FUSE INC,729580,Bel Fuse Inc,NASDAQ,3677.0,NJ,NJ,221463699.0,0,6,537,True
278,BEN,FRANKLIN RESOURCES INC,38777,Franklin Resources Inc,NYSE,6282.0,CA,DE,132670991.0,0,399,125,True
279,BERY,BERRY GLOBAL GROUP,919463,Berry Plastics Corp,NYSE,3089.0,IN,DE,351813706.0,0,6,246,True
280,BERY,BERRY GLOBAL GROUP,1378992,Berry Plastics Group Inc,NYSE,3089.0,IN,DE,,0,5,1006,True
281,BFAM,BRIGHT HORIZON FAMILY,1060559,Bright Horizons Family Solutions Inc,NYSE,8351.0,MA,DE,621742957.0,0,0,69,True
282,BFAM,BRIGHT HORIZON FAMILY,1437578,Bright Horizons Family Solutions Inc,NYSE,8351.0,MA,DE,,0,10,18,True
283,BFIN,BANKFINANCIAL CORP,1303942,Bankfinancial Corp,NASDAQ,6035.0,IL,,,0,252,0,True
284,BFS,SAUL CENTERS INC,907254,Saul Centers Inc,NYSE,6798.0,MD,MD,521833074.0,0,123,21,True
285,BG,BUNGE LIMITED,1144519,Bunge LTD,NYSE,2070.0,NY,,,0,17,422,True
286,BGC,GENERAL CABLE CORP,886035,General Cable Corp,NYSE,3357.0,KY,DE,61398235.0,0,1754,585,True
287,BGCP,BGC PARTNERS INC,1094831,BGC Partners Inc,NASDAQ,6200.0,NY,DE,134063515.0,0,17,47,True
288,BGCP,BGC PARTNERS INC,1382519,BGC Partners Inc,NASDAQ,6200.0,NY,DE,,0,0,0,False
289,BGFV,BIG 5 SPORTING GOODS,1156388,Big 5 Sporting Goods Corp,NASDAQ,5940.0,CA,DE,954388794.0,0,1,3,True
290,BGG,BRIGGS & STRATTON CO,14195,Briggs & Stratton Corp,NYSE,3510.0,WI,WI,390182330.0,0,355,227,True
291,BHB,BAR HBR BANKSHARES,743367,Harbor Bankshares Bar,NYSE MKT,6022.0,ME,ME,10393663.0,0,32,12,True
292,BHB,BAR HBR BANKSHARES,889608,Harbor Bankshares Corp,NYSE MKT,6022.0,MD,MD,521786341.0,0,0,0,False
293,BHE,BENCHMARK ELECTRONICS,863436,Benchmark Electronics Inc,NYSE,3672.0,TX,TX,742211011.0,0,5,368,True
294,BHI,BAKER HUGHES INC,808362,Baker Hughes Inc,NYSE,3533.0,TX,DE,760207995.0,0,174,359,True
295,BHLB,BERKSHIRE HILLS BANCORP,1108134,Berkshire Hills Bancorp Inc,NYSE,6036.0,MA,DE,43510455.0,0,14,0,True
296,BID,SOTHEBYS,823094,Sothebys,NYSE,7389.0,NY,DE,382478409.0,0,419,25,True
297,BIG,BIG LOTS INC,768835,Big Lots Inc,NYSE,5331.0,OH,OH,61119097.0,0,298,112,True
298,BIIB,BIOGEN INC,875045,Biogen Idec Inc,NASDAQ,2836.0,MA,DE,330112644.0,0,271,401,True
299,BIO,BIO-RAD LABORATORIES INC,12208,Bio Rad Laboratories Inc,NYSE,3826.0,CA,DE,941381833.0,0,168,260,True
300,BIO,BIO-RAD LABORATORIES INC,1475430,Joshua Gold Resources Inc,NYSE,6770.0,A6,NV,270531073.0,0,159,6,True
301,BIOS,BIOSCRIP INC,101473,United Resources Inc,NASDAQ,5080.0,FL,FL,951974524.0,0,0,0,False
302,BIOS,BIOSCRIP INC,1014739,Bioscrip Inc,NASDAQ,5912.0,NY,DE,50489664.0,0,296,60,True
303,BJRI,BJS RESTAURANTS INC,1013488,BJS Restaurants Inc,NASDAQ,5812.0,CA,CA,330485615.0,0,5,61,True
304,BK,BANK OF NEW YORK MELLON,9626,Bank Of New York Co Inc,NYSE,6022.0,NY,NY,132614959.0,0,0,39,True
305,BK,BANK OF NEW YORK MELLON,1390777,Bank Of New York Mellon Corp,NYSE,6022.0,NY,DE,,0,264,28,True
306,BKD,BROOKDALE SENIOR LIVING,1332349,Brookdale Senior Living Inc,NYSE,8050.0,TN,DE,203068069.0,0,3,337,True
307,BKE,BUCKLE INC,885245,Buckle Inc,NYSE,5651.0,NE,NE,470366193.0,0,79,36,True
308,BKH,BLACK HILLS CORP,1130464,Black Hills Corp,NYSE,4911.0,SD,SD,460458824.0,0,722,342,True
309,BKMU,BANK MUTUAL CORP,1123270,Bank Mutual Corp,NASDAQ,6035.0,WI,WI,392004336.0,0,1,9,True
310,BKS,BARNES & NOBLE INC,890491,Barnes & Noble Inc,NYSE,5940.0,NY,DE,61196501.0,0,127,158,True
311,BKU,BANKUNITED INC,1504008,Bankunited Inc,NYSE,6035.0,FL,DE,270162450.0,0,20,28,True
312,BL,BLACKLINE INC,71525,Blair Corp,,5961.0,PA,DE,250691670.0,0,0,0,True
313,BLD,TOPBUILD CORP,805792,Baldwin Technology Co Inc,,3555.0,CT,DE,133258160.0,0,0,63,False
314,BLDR,BUILDERS FIRSTSOURCE INC,1316835,Builders Firstsource Inc,NASDAQ,5211.0,TX,DE,522084569.0,0,4,278,True
315,BLK,BLACKROCK INC,1060021,Blackrock Holdco 2 Inc,NYSE,6282.0,NY,DE,,0,0,3,True
316,BLK,BLACKROCK INC,1364742,Blackrock Inc,NYSE,6211.0,NY,DE,320174431.0,0,26,12,True
317,BLKB,BLACKBAUD INC,1280058,Blackbaud Inc,NASDAQ,7372.0,SC,DE,112617163.0,0,191,50,True
318,BLL,BALL CORP,9389,Ball Corp,NYSE,3411.0,CO,IN,350160610.0,0,19,513,True
319,BLMN,BLOOMIN' BRANDS INC,1546417,Bloomin Brands Inc,NASDAQ,5812.0,FL,DE,208023465.0,0,222,55,True
320,BLMT,BSB BANCORP INC MD,726294,Belmont Bancorp,NASDAQ,6021.0,OH,OH,341376776.0,0,0,3,False
321,BLMT,BSB BANCORP INC MD,1522420,BSB Bancorp Inc,NASDAQ,6022.0,MA,MD,,0,23,0,True
322,BLUE,BLUEBIRD BIO INC,1077814,Blue Martini Software Inc,NASDAQ,7372.0,CA,,943319751.0,0,5,35,True
323,BLUE,BLUEBIRD BIO INC,1293971,Bluebird Bio Inc,NASDAQ,2836.0,MA,DE,,0,22,119,True
324,BMI,BADGER METER INC,9092,Badger Meter Inc,NYSE,3824.0,WI,WI,390143280.0,0,90,268,True
325,BMRC,BANK OF MARIN BANCORP,1403475,Bank Of Marin Bancorp,NASDAQ,6022.0,CA,CA,208859754.0,0,344,1,True
326,BMRN,BIOMARIN PHARMACEUTICAL,1048477,Biomarin Pharmaceutical Inc,NASDAQ,2834.0,CA,DE,680397820.0,0,13,345,True
327,BMS,BEMIS INC,11199,Bemis Co Inc,NYSE,2670.0,WI,MO,430178130.0,0,216,1244,True
328,BMTC,BRYN MAWR BANK CORP,802681,Bryn Mawr Bank Corp,NASDAQ,6022.0,PA,PA,232434506.0,0,132,27,True
329,BMY,BRISTOL MYERS SQUIBB,14272,Bristol Myers Squibb Co,NYSE,2834.0,NY,DE,220790350.0,0,141,349,True
330,BNCL,BENEFICIAL BANCORP INC,1378020,Beneficial Mutual Bancorp Inc,NASDAQ,6035.0,PA,X1,562480744.0,0,102,26,True
331,BNFT,BENEFITFOCUS INC,1576169,Benefitfocusinc,NASDAQ,7372.0,SC,DE,462346314.0,0,12,13,True
332,BOBE,BOB EVANS FARMS INC,33769,Bob Evans Farms Inc,NASDAQ,5812.0,OH,DE,314421866.0,0,96,220,True
333,BOCH,BANK COMM HLDGS,702513,Bank Of Commerce Holdings,NASDAQ,6022.0,CA,CA,942823865.0,0,15,24,True
334,BOFI,BOFI HLDG INC,1299709,Bofi Holding Inc,NASDAQ,6035.0,CA,DE,330867444.0,0,401,13,True
335,BOH,BANK OF HAWAII CORP,46195,Bank Of Hawaii Corp,NYSE,6022.0,HI,DE,990148992.0,0,544,3,True
336,BOKF,BOK FINANCIAL CORP,875357,Bok Financial Corp,NASDAQ,6021.0,OK,OK,731373454.0,0,340,0,True
337,BOLD,AUDENTES THERAPEUTICS,1444275,Lot78 Inc,,2300.0,X0,NV,262940624.0,0,0,4,True
338,BOOM,DMC GLOBAL INC,34067,Dynamic Materials Corp,NASDAQ,3390.0,CO,DE,840608431.0,0,140,2279,True
339,BOOT,BOOT BARN HOLDINGS,919443,Lacrosse Footwear Inc,,3021.0,OR,WI,391446816.0,0,9,142,True
340,BOX,BOX INC,1487999,Seacube Container Leasing LTD,NYSE,7350.0,NJ,,980655416.0,0,13,11,True
341,BPFH,BOSTON PRIVATE FINANCIAL,821127,Boston Private Financial Holdings Inc,NASDAQ,6022.0,MA,MA,42976299.0,0,343,29,True
342,BPI,BRIDGEPOINT ED INC,1274202,Topiary Benefit Plan Investor Fund LLC,NYSE,,NJ,,,0,0,0,False
343,BPI,BRIDGEPOINT ED INC,1305323,Bridgepoint Education Inc,NYSE,8200.0,CA,DE,593551629.0,0,360,193,True
