Company,Ticker
Organovo Holdings,ONVO
HP Inc.,HPQ
SLM Solutions Group ?AG,AM3D.F
The ExOne Company,XONE
Voxeljet AG,VJET
3D Systems Corp.,DDD
Stratasys Ltd.,SSYS
Arcam AB,ARCM.ST
Materialise NV,MTLS
Proto Labs,PRLB
